id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
29763,ETH-2011-2-117-3,2011,TRUE,Clear,2,2-117,4672,Dassanetch - Turkana,117,5282,Dassanetch - Turkana,1574,713,Dassanetch,1554,693,Turkana,-1,"Dark Clouds Over Todonyang’"", 31/5-11, & ""Death In Todonyang"" 3/5-11, at http://mcspa.org/author/brian-odhiambo/; info also available from numerous other sources, e.g. All Africa 12/5-11, ""Minister Fears Border Death Toll Could Rise"", All Africa 9/5-11, ""Clashes On Kenya Border Kill Over 30 - Official"", All Africa 5/5-11, ""Ethiopia's Merille Militia Massacre 41 Turkanas"", All Africa 9/5-11, ""Clashes On Kenya Border Kill Over 30 - Official"", All Africa 11/5-11, ""MPs Call for Tighter Border Security",,,,"Fr. Steven Ochieng of ""the Missionary Community of St Paul the Apostle and Mary, Mother of the Church – under the protection of St Joseph, patron of the Universal Church. It is a public association of Christian faithful of the Catholic Church, made up of priests and lay people, men and women, from different parts of the world""; Forestry assistant minister Josphat Nanok, Shimels Kemal, a spokesman for the Communications Ministry of Ethiopia, Rift Valley PC Osman Warfa",1,Todenyang village,Todonyang Village,Rift Valley province,Turkana district,4.533333,35.933333,POINT (35.933333 4.533333),136512,Kenya,501,Africa,1,1,5/2/2011 0:00,5/2/2011 0:00,5,1,0,0,6,6,6
29764,ETH-2011-2-117-4,2011,TRUE,Clear,2,2-117,4672,Dassanetch - Turkana,117,5282,Dassanetch - Turkana,1574,713,Dassanetch,1554,693,Turkana,-1,"Dark Clouds Over Todonyang’"", 31/5-11, & ""Death In Todonyang"" 3/5-11, at http://mcspa.org/author/brian-odhiambo/; info also available from numerous other sources, e.g. All Africa 12/5-11, ""Minister Fears Border Death Toll Could Rise"", All Africa 9/5-11, ""Clashes On Kenya Border Kill Over 30 - Official"", All Africa 5/5-11, ""Ethiopia's Merille Militia Massacre 41 Turkanas"", All Africa 9/5-11, ""Clashes On Kenya Border Kill Over 30 - Official"", All Africa 11/5-11, ""MPs Call for Tighter Border Security",,,,"Fr. Steven Ochieng of ""the Missionary Community of St Paul the Apostle and Mary, Mother of the Church – under the protection of St Joseph, patron of the Universal Church. It is a public association of Christian faithful of the Catholic Church, made up of priests and lay people, men and women, from different parts of the world""; Forestry assistant minister Josphat Nanok, Shimels Kemal, a spokesman for the Communications Ministry of Ethiopia, Rift Valley PC Osman Warfa",1,Todonyang police post,Todonyang Police Post (1 km from),Rift Valley province,Turkana district,4.53333,35.93333,POINT (35.933330 4.533330),136512,Kenya,501,Africa,1,1,5/2/2011 0:00,5/2/2011 0:00,0,25,0,0,25,35,25
29766,ETH-2011-2-117-5,2011,TRUE,Clear,2,2-117,4672,Dassanetch - Turkana,117,5282,Dassanetch - Turkana,1574,713,Dassanetch,1554,693,Turkana,-1,"BBC Monitoring Africa 6/5-11, ""Ethiopian militia reportedly kill 11 Kenyans in cross-border raid"" from The Standard website, Nairobi, in English 6 May 11;  Nairobi Star/All Africa 6 May 2011 ""Four More People Killed By Suspected Bandits",,,,,1,Kokuro,"Kokuro, Turkana North District",Rift Valley province,Turkana district,4.670133,35.711233,POINT (35.711233 4.670133),136512,Kenya,501,Africa,1,1,5/3/2011 0:00,5/3/2011 0:00,0,4,0,0,4,11,4
29768,ETH-2011-2-54-1,2011,FALSE,Clear,2,Feb-54,4613,Nyangatom  - Turkana,54,5223,Nyangatom  - Turkana,1573,712,Nyangatom,1554,693,Turkana,-1,"All Africa 8/8-11, ""One More Killed By Ethiopian Militia",,,,,1,Kibish area,Kibish (on the Kenya-Ethiopia border),Rift Valley province,Turkana district,5.233856,35.829131,POINT (35.829131 5.233856),137232,Kenya,501,Africa,1,1,8/6/2011 0:00,8/6/2011 0:00,0,1,0,0,1,1,1
30340,SOM-2012-1-770-150,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"All Africa 17 May 2012 ""Injured Man in Mombasa Attack Was Assailant",,,,,1,Dadaab camp,Dadaab camp,North-Eastern province,Garissa district,0.051,40.314,POINT (40.314000 0.051000),130041,Kenya,501,Africa,1,1,5/15/2012 0:00,5/15/2012 0:00,1,0,0,0,1,1,1
30341,SOM-2012-1-770-292,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"Xinhua 17 October 2012 ""Death toll in Kenya's Mombasa security raid rises to 3""  // Reuters 17 October 2012 ""UPDATE 4-Kenyan police kill three suspects in al Shabaab raid",,,,,1,Mombasa town,Mombasa town,Coast province,Mombasa district,-4.05,39.666667,POINT (39.666667 -4.050000),123560,Kenya,501,Africa,1,1,10/17/2012 0:00,10/17/2012 0:00,1,3,0,0,4,4,4
30342,SOM-2012-3-1578-2,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"BBC Monitoring Africa 1 January 2012 ""Programme summary of Somalia's Radio Shabeelle news 0500 gmt 01 Jan 12"" // Reuters 1 January 2012 ""UPDATE 2-Gunmen attack bars in northeast Kenya, 5 dead",,,,"Radio Shabeelle, Mogadishu in Somali 0500 gmt 1 Jan 12",1,Garissa town,Garissa town,North-Eastern province,Garissa district,-0.453548,39.640108,POINT (39.640108 -0.453548),129320,Kenya,501,Africa,1,1,1/1/2012 0:00,1/1/2012 0:00,0,0,0,0,0,5,0
30373,SOM-2012-3-1578-54,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"All Africa 8 December 2012 ""Death Toll in Eastleigh Grenade Attack Rises to Five",,,,,1,Nairobi city,Nairobi city (Eastleigh),Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,Africa,1,1,12/7/2012 0:00,12/7/2012 0:00,0,0,0,0,0,5,0
30379,SOM-2012-3-1578-14,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"All Africa 10 March 2012 ""3 Killed in Suspected Shabaab Nairobi Attack"" // All Africa 11 March 2012 ""Death Toll in Nairobi Grenade Attack Hits Six"" // Reuters 12 March 2012 ""UPDATE 1-Kenya releases four suspects held over blasts"" // All Africa 14 March 2012 ""Al Shabaab Denies Nairobi Bombings",,,,,1,Nairobi city,Nairobi city,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,Africa,1,1,3/10/2012 0:00,3/10/2012 0:00,0,0,0,0,0,7,0
30830,SOM-2011-1-770-186,2011,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"All Africa 25 November 2011 ""Al-Shabaab Landmine Kills One KDF Soldier",,,,,1,Mandera town,Mandera,North-Eastern province,Mandera district,3.936804,41.858383,POINT (41.858383 3.936804),135084,Kenya,501,Africa,1,1,11/24/2011 0:00,11/24/2011 0:00,1,0,0,0,1,1,1
31069,SOM-2011-3-1578-17,2011,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"Xinhua 25 November 2011 ""Panic grips northern Kenya over terror attacks",,,,,1,Mandera town,Mandera,North-Eastern province,Mandera district,3.936804,41.858383,POINT (41.858383 3.936804),135084,Kenya,501,Africa,1,1,11/24/2011 0:00,11/24/2011 0:00,0,0,6,0,6,6,6
31073,SOM-2011-3-1578-15,2011,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"Xinhua 6 November 2011 ""Kenya suspects Al_Shabaab behind attack in northern Kenya",,,,kenyan sources,1,Garissa town,Garissa town,North-Eastern province,Garissa district,-0.453548,39.640108,POINT (39.640108 -0.453548),129320,Kenya,501,Africa,1,1,11/5/2011 0:00,11/5/2011 0:00,0,0,0,0,0,2,0
31077,SOM-2011-3-1578-21,2011,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"BBC Monitoring Africa 21 December 2011 ""Uganda: Djibouti troops join AU mission in Somalia",,,,,1,Garissa town,Garissa town,North-Eastern province,Garissa district,-0.453548,39.640108,POINT (39.640108 -0.453548),129320,Kenya,501,Africa,1,1,12/19/2011 0:00,12/19/2011 0:00,0,0,2,0,2,2,0
31189,SOM-2012-1-770-13,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"Reuters 12 Jan 2012 ""UPDATE 2-Al Shabaab attack Kenyan police camp, kill 7",,,,,3,Wajir district,Gerille town,North-Eastern province,Wajir district,1.74722,40.0689,POINT (40.068900 1.747220),132201,Kenya,501,Africa,1,1,1/11/2012 0:00,1/11/2012 0:00,2,0,1,4,7,7,7
31261,SOM-2012-1-770-200,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"All Africa 18 July 2012 ""Officer Killed, Colleague Hurt in Shabaab Attack",,,,,3,Garissa district,Lagdera town,North-Eastern province,Garissa district,-0.45,39.64,POINT (39.640000 -0.450000),129320,Kenya,501,Africa,1,1,7/16/2012 0:00,7/16/2012 0:00,1,0,0,0,1,1,1
31266,SOM-2012-1-770-209,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"BBC Monitoring Africa 30 July 2012 ""One killed in Somalia, Kenya border attack",,,,"Shabeelle Media Network website, Mogadishu, in Somali 30 Jul 12",1,Mandera town,Mandera town,North-Eastern province,Mandera district,3.936804,41.858383,POINT (41.858383 3.936804),135084,Kenya,501,Africa,1,1,7/29/2012 0:00,7/29/2012 0:00,0,0,0,1,1,1,1
31352,SOM-2012-1-770-305,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"Reuters 28 October 2012 ""Two militant suspects killed in police raid on Kenyan coast",,,,,1,Mombasa town,,Coast province,Mombasa district,-4.05,39.666667,POINT (39.666667 -4.050000),123560,Kenya,501,Africa,1,1,10/28/2012 0:00,10/28/2012 0:00,0,2,0,0,2,2,2
31373,SOM-2012-1-770-327,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"Xinhua New Agency 16 November 2012 ""Suspected terrorists kill 2 policemen in northern Kenya",,,,kenyan police,1,Garissa town,Garissa town,North-Eastern province,Garissa district,-0.453548,39.640108,POINT (39.640108 -0.453548),129320,Kenya,501,Africa,1,1,11/15/2012 0:00,11/15/2012 0:00,0,0,0,2,2,2,2
31440,SOM-2012-1-770-388,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"IHS Jane's Intelligence Review, Kenya 16 Jul 2012 ""Gunmen kill 18 in co-ordinated attacks on two Kenyan churches",,,,,1,Garissa town,Garissa town,North-Eastern province,Garissa district,-0.453548,39.640108,POINT (39.640108 -0.453548),129320,Kenya,501,Africa,1,1,7/1/2012 0:00,7/1/2012 0:00,0,0,0,2,2,2,2
31442,SOM-2012-1-770-392,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,Africa Research Bulletin vol 49(2): pp. 19152-19153,,,,AFP 19/2,3,Garissa district,Fafi locality (Garissa district),North-Eastern province,Garissa district,-0.45,39.64,POINT (39.640000 -0.450000),129320,Kenya,501,Africa,1,2,2/17/2012 0:00,2/19/2012 0:00,0,0,0,1,1,1,1
31446,SOM-2012-1-770-4,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"BBC Monitoring Africa 5 Jan 2012 ""Kenya: Fifteen Al-Shabab militants said surrender to Somali forces",,,,"The Standard, Nairobi, in English 5 Jan 12",7,Kiunga town,"Kiunga (coastal border btw Somalia and Kenya)

Since the Al-Shabaab fighters were killed on a boat, this event should have prec. 7, at sea (sam)",Coast province,Lamu DIstrict,-1.74546,41.488778,POINT (41.488778 -1.745460),127163,Kenya,501,Africa,1,2,1/2/2012 0:00,1/4/2012 0:00,0,2,0,0,2,2,2
31463,SOM-2012-1-770-417,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"The Star 2012-01-02 through BBC ""Kenyan police kill three suspected Al-Shabab militants",,,,Lamu East OCPD [Officer Commanding Police Division] Samuel Obara,3,Lamu DIstrict,"Boni forests, Mkokoni area near Kiunga in Lamu",Coast province,Lamu DIstrict,-1.74,41.48,POINT (41.480000 -1.740000),127163,Kenya,501,Africa,1,1,1/1/2012 0:00,1/1/2012 0:00,0,3,0,0,3,3,3
31464,SOM-2012-1-770-418,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"AFP 2012-02-19 ""Suspected Somali Islamists attack Kenyan police outpost",,,,police,3,Garissa district,Fafi in Garissa district,North-Eastern province,Garissa district,-0.45,39.64,POINT (39.640000 -0.450000),129320,Kenya,501,Africa,1,1,2/17/2012 0:00,2/17/2012 0:00,1,0,0,0,1,1,1
31465,SOM-2012-1-770-419,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"The Star 2012-02-29 through BBC ""Somali Islamists said shoot dead Kenyan police reservist",,,,officials,1,Mandera town,Mandera,North-Eastern province,Mandera district,3.936804,41.858383,POINT (41.858383 3.936804),135084,Kenya,501,Africa,1,1,2/28/2012 0:00,2/28/2012 0:00,1,0,0,0,1,1,1
31488,SOM-2012-1-770-62,2012,TRUE,Clear,1,1-141,337,Somalia:Government,770,750,Government of Somalia - Al-Shabaab,520,95,Government of Somalia,1578,717,Al-Shabaab,-1,"BBC Monitoring Africa 20 Feb 2012 ""Programme summary of Somalia's Radio Shabeelle news 0500 gmt 20 Feb 12",,,,"Radio Shabeelle, Mogadishu in Somali 0500 gmt 20 Feb 12",1,Garissa town,Garissa town,North-Eastern province,Garissa district,-0.453548,39.640108,POINT (39.640108 -0.453548),129320,Kenya,501,Africa,1,2,2/18/2012 0:00,2/20/2012 0:00,1,0,0,0,1,1,1
31581,SOM-2012-3-1578-25,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"All Africa 31 May 2012 ""Moi Avenue Blast Victim Dies",,,,,1,Nairobi city,Nairobi city,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,Africa,1,1,5/28/2012 0:00,5/28/2012 0:00,0,0,1,0,1,1,1
31584,SOM-2012-3-1578-23,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"Reuters 16 May 2012 ""Kenyan police arrest suspect in Mombasa grenade attack",,,,,1,Mombasa town,Mombasa town (Bella Vista night club),Coast province,Mombasa district,-4.05,39.666667,POINT (39.666667 -4.050000),123560,Kenya,501,Africa,1,1,5/15/2012 0:00,5/15/2012 0:00,0,0,1,0,1,1,1
31591,SOM-2012-3-1578-29,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"Reuters 1 July 2012 ""At least 10 killed in blasts at Kenya churches - police""  // Reuters 1 July 2012 ""UPDATE 4-Attacks on Kenyan churches kill 17""  // All Africa 6 July 2012 ""We Will Hunt You Down, Kibaki Tells Al Shabaab""  // IHS Jane's Intelligence Review, Kenya 16 Jul 2012 ""Gunmen kill 18 in co-ordinated attacks on two Kenyan churches",,,,,1,Garissa town,Garissa town,North-Eastern province,Garissa district,-0.453548,39.640108,POINT (39.640108 -0.453548),129320,Kenya,501,Africa,1,1,7/1/2012 0:00,7/1/2012 0:00,0,0,17,0,17,17,17
31632,SOM-2012-3-1578-64,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,ARB vol 49(8): 19372,,,,Sunday Nation 5/8 2012,1,Nairobi city,Nairobi city (Eastleigh),Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,Africa,1,1,8/1/2012 0:00,8/1/2012 0:00,0,0,3,0,3,3,3
31634,SOM-2012-3-1578-1,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"Reuters 1 January 2012 ""UPDATE 2-Gunmen attack bars in northeast Kenya, 5 dead",,,,,1,Dadaab camp,Dadaab refugee camp,North-Eastern province,Garissa district,0.051,40.314,POINT (40.314000 0.051000),130041,Kenya,501,Africa,1,1,1/1/2012 0:00,1/1/2012 0:00,0,0,0,0,0,1,0
31635,SOM-2012-3-1578-63,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,ARB vol 49(8): 19372,,,,Sunday Nation 5/8 2012,1,Nairobi city,Nairobi city (Eastleigh),Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,Africa,1,1,8/3/2012 0:00,8/3/2012 0:00,0,0,1,0,1,1,1
31644,SOM-2012-3-1578-48,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"Reuters 19 November 2012 ""UPDATE 4-Bomb rips through Nairobi minibus, killing six""  // BBC Monitoring Africa 19 November 2012 ""Programme summary of Somalia's Radio Voice of Mudug news 1700 gmt 18 Nov 12""  // Reuters 19 November 2012 ""UPDATE 3-Rioters attack ethnic Somalis in Kenyan capital""  //  BBC Monitoring Africa 20 November 2012 ""Somali president says Kenyan capital blast cowardly act",,,,"red cross   //  Radio Voice of Mudug, in Somali 1700 gmt 18 Nov 12  //  Radio Bar-Kulan website, Nairobi, in Somali on 20 Nov 12",1,Nairobi city,Nairobi city (Eastleigh),Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,Africa,1,1,11/18/2012 0:00,11/18/2012 0:00,0,0,10,0,10,10,10
31646,SOM-2012-3-1578-42,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"Reuters 30 september 2012 ""Two Kenyan police officers shot dead near Somalia border",,,,,1,Nairobi city,Nairobi city,Nairobi province,Nairobi district,-1.283333,36.816667,POINT (36.816667 -1.283333),127874,Kenya,501,Africa,1,1,9/30/2012 0:00,9/30/2012 0:00,0,0,0,0,0,1,0
31653,SOM-2012-3-1578-66,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"Daily Nation 2012-05-21 through BBC ""Two refugees shot dead in northeastern Kenya camp",,,,"police, Garissa residents",2,Dadaab camp,Ifo (Ifo camp near Dadaab [northeastern Kenya] ),North-Eastern province,Garissa district,0.051,40.314,POINT (40.314000 0.051000),130041,Kenya,501,Africa,1,1,5/19/2012 0:00,5/19/2012 0:00,0,0,0,0,0,1,0
31655,SOM-2012-3-1578-67,2012,TRUE,Clear,3,1578,604,Al-Shabaab - Civilians,1578,1071,Al-Shabaab - Civilians,1578,717,Al-Shabaab,9999,1,Civilians,-1,"Xinhua 2012-05-30 ""At least 1 killed, 3 critically injured in grenade attack in N. Kenya",,,,police,3,Wajir district,Wajir,North-Eastern province,Wajir district,1.74722,40.0689,POINT (40.068900 1.747220),132201,Kenya,501,Africa,1,1,5/30/2012 0:00,5/30/2012 0:00,0,0,0,0,0,1,0
