Link,Title,URL,Date,Content
http://www.the-star.co.ke/news/2013/02/04/sh2-billion-fertilizer-to-arrive-in-this-month_c734286,Sh2 billion fertilizer to arrive in this month,www.the-star.co.ke › Business › Local,"Feb. 04, 2013, 12:00 am","['Fertilizer worthy more than Sh2 billion will arrive in the country this month for use by farmers during the planting season.The National Cereals and Produce Board says the consignment of one million bags will be available to farmers for use as they start planting next month. ', 'It will be arriving shortly and farmers should be assured that they will have adequate fertilizer this year, said NCPB spokesman Evans Wasike. ', 'However, the board already has more than 800,000 bags of fertilizer at its depots in parts of the country and farmers are purchasing the commodity ahead of the planting season. The consignment being imported include both DAP for planting and CAN for top dressing. ', 'Late last year, the board announced a cut in prices of fertilizer as part of the measures to cut costs of farming and increase food production next year.A 50 Kg bag of DAP fertilizer for planting which has been selling at Sh2, 500 will this year go for Sh2,480 at the NCPB. ', 'CAN fertilizer for top dressing will now be sold at Sh1,500 per 50 Kg bag down from Sh1,600. The board says it had made early arrangements for the fertilizer importation to avoid shortages when farmers start planting soon. ', ""The Kenya Farmers Association through Director Kipkorir Menjo has lauded NCPB's strategy to import fertilizer early enough. "", '""Such moves will definitely impact positively on food production and that is why we have been pushing the government to allocate enough money to the NCPB"", said Menjo. He said the fertilizer should be distributed to all parts of the country so that farmers can access it easily. ', 'The board has so far used more than Sh10 billion to supply subsidized fertilizer to famers in the last five years and Wasike said the plan had helped to increase food production especially maize in the country.', ' Last year, the board estimated that farmers harvested more than 40 million bags and the government allocated only Sh1.6 billion to NCPB to buy part of the maize for Strategic Grain Reserves. ', 'The board has since exhausted the cash and stopped purchasing maize from farmers causing prices of the commodity to drop in most parts of the region. Middlemen also took advantage of the situation and bought maize from farmers at cheaper prices.', ' ', ' ', '\n']"
http://www.the-star.co.ke/news/2013/02/04/kivuti-fan-gives-birth-at-stadium_c734248,Kivuti fan gives birth at stadium,www.the-star.co.ke › Local News › North Eastern,"Feb. 04, 2013, 12:00 am","['A 42-year-old woman gave birth to a baby boy at Embu Satdium. Christine Ngina went into labour as she was marching with several supporters of outgoing Siakago MP Lenny Kivuti who was on his way to get IEBC clearance.', 'Her friends made a shelter from their lesos while midwife Beatrice Wanza helped her deliver. The women then took Ngina to Embu Medical and Dental Clinic where health workers Irene Muthui and her colleague faith Njiru gave her further treatment and referred her to Embu General Hospital.', ""Ngina had travelled from Kithimu to witness Kivuti get his clearance. Kivutis supporters asked her to name the boy Lenny, after the MP, but she refused saying it is the child's father duty."", 'On the other hand, the march almost turned tragic when a lorry carrying some supporters lost control and landed in a ditch. Some 23 passengers were slightly injured with one suffering a broken his hand.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/raila-heads-to-nyanza-seeks-to-heal-poll-scars_c734217,"Raila heads to Nyanza, seeks to heal poll scars",www.the-star.co.ke › National News,"Feb. 04, 2013, 12:00 am","[""Prime Minister Raila Odinga starts his campaign tour of Nyanza today in a bid to build bridges after the shambolic ODM nominations. The PM will be accompanied by Cord coalition partners, Vice President Kalonzo Musyoka and Trade minister Moses Wetang'ula."", ""Raila will meet Cord candidates from the region to prevail on them not to split the region's vote. Kalonzo and Wetang'ula, who took Cord campaigns to their own back yards at the weekend, will join Raila in Cord's maiden tour of the region since its formation last December."", ""There were many protests in parts of Nyanza during the nominations. Nyanza is considered Raila's strong hold and anyone associated with him and his party is almost guaranteed of a win in the elections."", ""Acts of violence were wide spread in Homa bay, Siaya and Kisumu, prompting postponement and subsequent cancelling of nomination results by ODM's elections board."", ""A dispatch from the PM's presidential campaign secretariat says that the three principals will address campaign rallies in Kisii, Nyamira, Migori, Homa Bay and Siaya."", 'The entourage will make its first stop in Kisii and Nyamira today, where it is scheduled to hold mini rallies in different parts of the two counties, before addressing a major rally at the Gusii Stadium in Kisii town.', ""The team will travel to Kuria tomorrow for a major rally at Kehancha, with mini rallies to be addressed separately by Raila, Kalonzo and Wetang'ula. On Wednesday, the principals will move to Homa Bay and Siaya, where they will address rallies at the Homa Bay and Siaya stadiums."", 'Meanwhile, Sports minister Ababu Namwamba and outgoing Yatta MP Charles Kilonzo will lead the recently launched Cord Effect campaign team in Kisumu.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/hopeful-warns-of-tough-race_c734201,Hopeful warns of tough race,www.the-star.co.ke › Local News › Western,"Feb. 04, 2013, 12:00 am","['UGENYA parliamentary aspirant Francis Oloo has asked his opponents to prepare for a tough race after his dramatic comeback. The PDP aspirant told his supporters that he will embark on a vigorous development exercises that he launched two years ago.', ' ', 'Owino promised to prioritise education, free medical camps, jigger treatment and infrastructure development if elected. He was speaking at Ukwala town while presenting his nominations papers to the IEBC. The seat was occpied by Lands minister James Orengo who is vying for Siaya senator on an ODM ticket.', ' ', ' ', ' ', '\n']"
http://www.the-star.co.ke/news/2013/02/04/police-get-cars-equipment-ahead-of-general-election_c734116,"Police get cars, equipment ahead of general election",www.the-star.co.ke › Local News › Rift Valley,"Feb. 04, 2013, 12:00 am","['Rift Valley police have received vehicles and other equipment ahead of the March 4 general election. The government has also supplied all police bosses in newly created districts in the region with new cars.', 'Uasin Gishu County Commissioner Abdi Hassan said police have been directed to deal firmly with any aspirant or other individual who plans to cause chaos in the region that was worst hit by the post-election violence of 2007-08.', 'He said security systems have been put in place to ensure the election campaigns and the polling takes place smoothly.', '""This time around those who may want to cause chaos in this region will know that the laws in this country are in place. We want people to campaign peacefully and vote the way they want,"" said Hassan.', 'He said winners and losers must accept the outcome of the election peacefully. Hassan was speaking on Friday at the launch of the new offices for the Ethics and Anti-Corruption Commission in Eldoret.', 'The event was presided over by the EACC vice chairperson Irene Keino and commissioner Jane Onsongo. Hassan said government officials have held several meetings in the region to ensure that communities keep peace during the election period.', '""We have also asked civil servants to serve the public with openness and dedication and avoid engaging in corruption,"" said Hassan.', 'He said they will work with the EACC to ensure that government services are delivered to the public smoothly and as provided for in the law. Keino said EACC will take action against civil servants found demanding bribes from members of the public.', '""As we move to the new systems of government we have to be careful so that we do not devolve corruption to the counties,"" she said.', 'Keino said the spirit of the new constitution on leadership and integrity must be respected and that Kenyans must carefully vet leaders to be elected to office next month.', 'The commission will expand its operations by opening up offices in all the 47 counties. Keino said they have so far opened offices in Mombasa, Kisumu, Nyeri, Garissa and Eldoret.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/uhuru-kenyatta-has-no-moral-authority-to-solve-kenyas-land-problems_c734297,Uhuru Kenyatta Has No Moral Authority To Solve Kenya's Land Problems,www.the-star.co.ke › Opinion › Ngunjiri Wambugu,"Feb. 04, 2013, 12:00 am","['Some time late last year I met an intense young man called Elijah Mburu. Elijah comes from Kiambu county and he and some other colleagues of his rika (age group) had just launched a lobby group called the Kenya National Land Accord Movement (KNLAM).', 'They had come up with a petition to Uhuru Kenyatta and they were out to collect one million signatures to petition Uhuru to allocate land to squatters and IDPs, especially in Kiambu, Taveta and parts of Rift Valley.', 'Today KNLAM has collected 215,000 signatures from Kiambu in addition to signatures from other parts of the country. On January 13, Elijah and his group accused Uhuru in the press of neglecting Kiambu residents.', 'They said he is a custodian of chunks of land formerly owned by these residents. They also mobilised Kiambu residents living in colonial villages to petition the Prime Minister Raila Odinga and Lands minister James Orengo to address their resettlement plans before they leave office.', 'Raila has taken up Elijahs cause and is now challenging any Kenyan with large tracts of land to give up some of it for the sake of poor Kenyans who are squatters and IDPs. Uhuru is livid.', 'His family is reputed to own land the size of a province in a country where the average Kenyan can barely afford a plot of land to bury his dead.', ""On October 1, 2004 the Standard's lead story was on how the Kenyatta family is reputed to own 24,000 acres in Taveta, 50,000 acres in Taita, 29,000 acres in Kahawa Sukari, 10,000 acres in Gatundu, 5,000 acres in Thika, 9,000 acres in Kasarani, and 10,000 acres in Naivasha."", 'The newspaper also quoted another 52,000 acres in Nakuru, 20,000 acres in Bahati, 10,000 acres in Rumuruti, and 40,000 acres in Endebbes.', ""There was also mention of 100 acres in Karen and 1,000 acres in Dagorreti. The paper explained that this land was acquired during the 15-year reign of Uhuru's father, Jomo Kenyatta."", 'Ironically, Uhuru claims his greatest political support from Kiambu, a county with at least eight colonial-era villages  Kamuguga, Karecheni, Kiambaa, Kihara, Karura, Ichaweri and Kirathimo  that were established by the colonial government as concentration camps for Mau Mau sympathisers.', ""However, the thousands of young men who inhabit these villages are the ones behind the Kenya National Land Accord, and they insist Uhuru must restore their grandfathers' lands back to them before they can vote him into any position."", 'Elijah insists Uhuru must redeem himself of these historical injustices before running for President. Uhuru knows it is not illegal to own even the reputed 500,000 acres of land.', 'He also knows that unlike in western countries, it is not illegal to own every sea-front at the Coast and keep it away from poor members of the public who might want to enjoy Gods gift of beaches.', 'This is why he challenges Raila to produce evidence of illegality in their family property. Uhuru cannot be accused of land grabbing. As he himself admitted recently whatever happened under his parents is no concern of his.', 'However, the fact is that Uhuru is who he is today because of historical land injustices. These are the basis of the economic wealth he enjoys; and this economic wealth is the foundation of his political power today.', 'Uhuru must not assume that the millions of Kenyans who were disenfranchised in the process of his family acquiring their wealth have forgotten what happened.', 'As he challenges Raila to produce evidence showing that the land the Kenyattas own was acquired illegally, he needs to realise that millions of Kenyans do not need such evidence.', 'We know how the land was acquired, whatever the legal documents might say. He also must accept that Kenyans understand that there is no way powerful individuals with such a history, and who still own large tracts of un-utilised land, can be trusted to solve Kenyas perennial land problems.', ""As Wetang'ula said, one really cannot expect a monkey to officiate over the eradication of forests! Raila has a point. Thousands of the Kenyan middle-class are struggling to pay bank loans so as to own a plot of land."", 'Millions of Kenyans continue to live as squatters across the country, purely because the land ownership system has been compromised.', 'Every internal conflict since independence, including the Baragoi masscare, Tana killings and the 2007-08 post-election violence, are related to land disputes.', 'How then can Kenyans who have suffered land alienation, whether they are from Central Kenya, Rift Valley, the Coast or Nairobi not agree with Raila when he says that a product of Kenyas historical land injustices cannot be expected to solve such injustices?', 'In fact is it not morally repugnant for someone associated with such history to purport to have the solution to the inequalities in land ownership?', ' ', 'Ngunjiri Wambugu is the director of political affairs at the Raila Odinga presidential campaign secretariat.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/police-officers-killed-in-baringo_c734486,Police officers killed in Baringo,www.the-star.co.ke › Latest News,"Feb. 04, 2013, 12:00 am","['Three police officers are among seven people who were  last night  killed   by armed bandits  in East Pokot, Baringo County. ', 'The bandits were raiding Loyamorok Village when they were confronted by the officers leading to a shoot out in which three officers were shot dead. ', 'Three bandits and one villager were also killed during the incident. One injured police officer is admitted to the Kabarnet District Hospital. Police reinforcements have since been sent to the area. Baringo County Commissioner Benard Leparamarai confirmed the incident and said he was heading to the scene.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/jobs-drug-abuse-dominate-mombasa-governor-debate_c734252,"Jobs, drug abuse dominate Mombasa governor debate",www.the-star.co.ke › Local News › Coast,"Feb. 04, 2013, 12:00 am","[""Five governor hopefuls in Mombasa have promised to address unemployment, education and drugs if they win the March 4 elections. The five were answering questions from wananchi at a governor's debate organised by the Mombasa Church Forum at the weekend."", 'The five aspirants elaborated their policies to wanachi at the Tononoka Social Hall where the event was held. Fielding questions from the public, the hopefuls admitted that high unemployment rates, lack of basic facilities in schools and drug abuse have to be addressed urgently after the polls.', 'Suleiman Shahbal, the UDF candidate, said setting up more industries in the region will provide jobs to the youth. New industries are coming up in Nairobi. We need the same in Mombasa as more industries mean more job opportunities for our youth, said Shahbal.', 'Transport assistant minister Hassan Joho, vying on an ODM ticket, said he will make Mombasa an economic hub by decongesting the transport network and fast tracking the Dongo Kundu by-pass.', ""Independent candidate Tendai Mtana said he will promote the agricultural and tourism sectors while TNA's Abdallah Mwaruwa said education needs more attention."", 'Shahbal said making drug peddling a capital offense will solve the menace. Joho said the menace needs collective efforts from religious and political leaders and the residents.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/posthumous-launch-of-margaret-ogolas-mandate-of-the-people_c734168,Posthumous launch of Margaret Ogola's 'Mandate of the people',www.the-star.co.ke › Lifestyle › Society,"Feb. 04, 2013, 12:00 am","['Margaret Ogola was well known author of the Commonwealth Prize-winning novel The River and the Source. The book is about four generations of Kenyan women and which is one of the book lists for KCSE candidates.', ' The author, who had other titles to her name, was also a pediatrician and the medical director of Cottolengo Hospice, a hospice for HIV/Aids orphans. In 2011, the good doctor and author passed on leaving a widower and several children. She also left a new book with her publishers, Focus Publishers, called Mandate of the people, a satire on the Kenyan political process.', ' This book was launched last week at the Intercontinental Hotel in Nairobi with many personalities in attendance including Committee for the Implementation of the Constitution chairman Charles Nyachae who was the guest of honour. The event was also attended by the family of the departed author including her son, Tusker Project Fame finalist David Ogola.', '\n']"
http://www.the-star.co.ke/news/2013/02/04/judge-wants-quick-poll-disputes-remedy_c734239,Judge wants quick poll disputes remedy,www.the-star.co.ke › National News,"Feb. 04, 2013, 12:00 am","['LAWYERS have been asked to fast-track the hearing of election petitions after the March 4 elections. Appellate judge David Maraga said lawyers should avoid unnecessary dialogues which may delay the hearing of election petitions.', 'Maraga, the vice chairman of the Judiciary Working Committee on Election Preparedness, said such applications will not be entertained by judges and magistrates.', 'New rules have been introduced to ensure election disputes are heard and determined fast. Any unnecessary applications will not be allowed, he said.', 'Maraga made the remarks when he addressed 160 lawyers at a Kisumu Hotel during the Law Society of Kenya Continuing Legal Education Seminar.', 'The Appellate judge said they anticipate about 500 petitions from the 1,860 seats to be contested in the March 4 elections. He said amendments had been made to the Elections Act to ensure faster resolution of election disputes.', 'In the amendments, magistrate courts will hear petitions and appeals from counties. However, East Africa Law Society president James Mwamu said it will not be possible to decide presidential elections disputes in a fortnight.', 'Issues may arise that require lawyers to call over 20 witnesses. We concur with the Judiciary that election petitions must be heard and determined fast but justice must also be seen to be done, he said.', '\n']"
